Station;010 Wedding;032 Grunewald;042 Neukölln;077 Buch;085 Friedrichshagen;117 Schildhornstraße;124 Mariendorfer Damm;143 Silbersteinstraße;144 Silbersteinstraße;171 Mitte;174 Frankfurter Allee;190 Leipziger Straße;221 Karl-Marx-Straße
26.02.2023 13:00;5;4;5;4;4;6;27;8;8;5;7;13;8
26.02.2023 14:00;5;4;5;4;4;6;12;8;8;5;6;14;9
26.02.2023 15:00;5;4;6;4;4;7;16;8;8;5;7;13;9
26.02.2023 16:00;5;4;6;4;4;6;12;8;8;5;6;11;11
26.02.2023 17:00;5;4;5;4;4;6;14;8;8;5;6;11;10
26.02.2023 18:00;5;4;6;4;4;6;10;8;8;6;8;11;11
26.02.2023 19:00;5;4;7;4;4;6;11;9;9;7;9;12;13
26.02.2023 20:00;6;4;9;5;4;6;10;10;10;6;8;9;15
26.02.2023 21:00;7;4;10;5;6;7;10;10;11;7;10;10;15
26.02.2023 22:00;11;4;9;5;7;8;12;14;21;8;12;11;16
26.02.2023 23:00;11;5;11;6;9;9;12;12;12;9;13;9;17
27.02.2023 00:00;10;8;10;6;11;12;12;13;13;8;16;11;15
27.02.2023 01:00;8;7;9;7;8;10;12;11;11;8;14;9;12
27.02.2023 02:00;8;6;8;9;9;10;11;9;9;7;12;8;9
27.02.2023 03:00;7;6;7;12;8;9;11;9;9;7;10;8;8
27.02.2023 04:00;7;6;7;11;8;9;10;9;9;6;9;8;8
27.02.2023 05:00;7;6;7;10;7;8;10;9;9;7;9;7;8
27.02.2023 06:00;8;6;8;9;13;9;11;18;14;8;9;8;9
27.02.2023 07:00;9;6;11;10;10;9;13;16;11;8;10;10;10
27.02.2023 08:00;10;6;12;10;10;9;13;28;27;10;12;10;14
27.02.2023 09:00;13;6;11;9;8;14;14;13;13;11;15;12;13
27.02.2023 10:00;12;9;14;11;8;15;15;15;16;15;16;14;16
27.02.2023 11:00;12;10;16;10;8;16;22;20;60;16;22;21;19
27.02.2023 12:00;14;10;14;8;8;15;28;30;63;20;22;55;21
27.02.2023 13:00;11;8;9;6;4;13;33;26;35;12;14;35;13
27.02.2023 14:00;7;5;7;4;4;19;21;17;25;9;11;26;12
27.02.2023 15:00;6;4;8;4;4;23;19;17;20;8;10;17;11
27.02.2023 16:00;6;5;8;4;4;15;19;16;18;8;9;21;11
27.02.2023 17:00;7;4;8;4;5;12;21;14;18;6;10;14;14
27.02.2023 18:00;8;4;8;9;6;11;25;20;21;9;10;19;15
27.02.2023 19:00;8;5;9;9;6;12;31;22;24;10;14;21;17
27.02.2023 20:00;10;5;16;7;7;11;40;25;28;15;19;19;23
27.02.2023 21:00;12;5;15;6;7;11;30;19;21;19;16;17;21
27.02.2023 22:00;14;5;15;6;8;12;21;19;21;17;16;19;17
27.02.2023 23:00;12;6;13;6;8;12;16;16;15;25;13;16;15
28.02.2023 00:00;10;6;11;6;9;12;13;14;15;13;12;16;13
28.02.2023 01:00;11;8;10;7;11;11;12;12;14;10;13;14;12
28.02.2023 02:00;10;8;10;8;11;11;13;13;14;10;12;13;13
28.02.2023 03:00;10;8;12;9;11;13;14;14;14;11;14;15;14
28.02.2023 04:00;11;8;12;9;11;14;15;14;14;12;15;15;14
28.02.2023 05:00;12;9;13;8;11;14;16;15;15;15;16;15;14
28.02.2023 06:00;13;9;13;9;11;18;18;16;16;17;19;16;15
28.02.2023 07:00;15;10;14;11;12;18;21;23;24;16;24;19;15
28.02.2023 08:00;19;10;17;11;12;20;27;25;25;21;32;27;21
28.02.2023 09:00;24;11;20;13;13;19;24;36;47;33;44;62;26
28.02.2023 10:00;19;10;16;13;16;54;29;49;68;19;39;65;27
28.02.2023 11:00;12;7;9;11;12;54;47;35;44;12;21;28;17
28.02.2023 12:00;10;8;9;7;8;21;24;25;30;11;24;28;13
28.02.2023 13:00;9;9;12;7;8;19;25;19;24;22;15;20;16
28.02.2023 14:00;10;11;12;7;8;20;17;21;22;15;15;22;15
28.02.2023 15:00;12;12;11;8;9;23;20;21;24;12;14;24;15
28.02.2023 16:00;11;11;13;9;10;18;25;22;30;15;14;21;16
28.02.2023 17:00;10;10;13;9;10;18;30;20;23;12;17;19;17
28.02.2023 18:00;12;9;13;9;11;18;41;26;32;16;19;23;18
28.02.2023 19:00;15;8;19;12;11;27;43;41;61;23;38;27;25
28.02.2023 20:00;19;10;21;12;10;35;69;54;66;28;45;32;32
28.02.2023 21:00;25;11;27;17;11;37;95;50;52;29;40;34;39
28.02.2023 22:00;46;13;31;19;13;31;70;57;54;29;48;32;44
28.02.2023 23:00;45;12;35;17;18;30;56;73;81;38;47;31;51
01.03.2023 00:00;37;14;40;19;20;29;48;92;114;36;45;38;44
01.03.2023 01:00;38;15;42;23;24;30;43;80;109;33;40;40;49
01.03.2023 02:00;38;15;35;23;24;27;39;52;62;33;42;32;41
01.03.2023 03:00;38;18;33;26;24;25;38;40;43;29;34;32;39
01.03.2023 04:00;36;20;29;25;24;24;37;43;44;28;31;35;35
01.03.2023 05:00;35;20;31;19;23;25;37;44;45;29;31;36;32
01.03.2023 06:00;35;18;33;16;24;26;43;43;44;32;40;35;33
01.03.2023 07:00;38;18;37;16;23;27;52;44;46;37;43;36;39
01.03.2023 08:00;36;18;37;17;22;29;54;50;50;57;53;43;49
01.03.2023 09:00;34;18;46;27;22;36;47;54;59;50;65;49;50
01.03.2023 10:00;22;19;40;16;21;38;49;67;76;57;36;51;53
01.03.2023 11:00;26;12;24;11;21;34;122;53;58;40;26;35;37
01.03.2023 12:00;17;17;18;8;16;36;;35;41;36;22;38;24
01.03.2023 13:00;13;12;18;7;12;40;47;28;35;22;22;29;24
01.03.2023 14:00;13;11;14;7;10;24;30;27;31;36;18;20;17
01.03.2023 15:00;12;13;15;7;8;21;29;20;28;17;18;25;19
01.03.2023 16:00;9;12;14;7;9;21;26;19;22;18;18;22;18
01.03.2023 17:00;10;9;15;8;9;19;29;25;32;23;18;24;18
01.03.2023 18:00;11;7;21;10;9;19;31;26;34;29;16;25;25
01.03.2023 19:00;18;7;28;9;8;37;74;49;57;31;32;33;47
01.03.2023 20:00;34;8;36;9;10;38;105;66;80;57;62;30;58
01.03.2023 21:00;41;9;39;7;13;36;88;71;74;105;70;38;73
01.03.2023 22:00;51;12;40;9;13;33;79;72;72;80;61;35;59
01.03.2023 23:00;48;12;42;16;16;32;59;92;102;76;65;45;60
02.03.2023 00:00;47;12;41;36;20;37;52;89;111;49;63;39;65
02.03.2023 01:00;45;14;43;39;23;32;40;75;95;47;55;40;59
02.03.2023 02:00;31;15;45;26;25;30;35;58;77;38;39;35;54
02.03.2023 03:00;22;16;33;15;23;28;34;35;36;29;25;28;32
02.03.2023 04:00;23;17;24;12;22;27;33;30;30;30;26;28;26
02.03.2023 05:00;22;17;23;12;20;27;31;32;33;30;40;29;28
02.03.2023 06:00;23;18;28;15;20;27;32;32;32;31;34;28;31
02.03.2023 07:00;25;19;29;22;20;29;33;32;33;28;34;29;32
02.03.2023 08:00;30;20;31;28;20;33;32;34;36;33;35;33;34
02.03.2023 09:00;29;23;31;19;25;35;34;35;37;41;40;34;35
02.03.2023 10:00;28;25;28;21;29;35;38;38;40;33;33;42;34
02.03.2023 11:00;24;26;33;19;29;39;50;46;50;30;34;41;36
02.03.2023 12:00;24;27;33;16;28;40;55;44;46;25;33;35;39
02.03.2023 13:00;22;24;23;16;27;36;47;42;44;24;28;34;29
02.03.2023 14:00;21;21;23;13;26;33;44;38;40;23;23;35;26
02.03.2023 15:00;21;21;20;12;32;34;39;28;31;22;20;35;25
02.03.2023 16:00;20;20;19;13;31;28;28;24;26;20;21;27;24
02.03.2023 17:00;14;20;27;13;30;25;26;29;30;27;40;25;32
02.03.2023 18:00;14;19;33;11;27;22;36;43;45;26;41;30;39
02.03.2023 19:00;14;19;28;12;25;23;34;35;36;20;31;20;35
02.03.2023 20:00;13;20;21;11;23;24;27;29;30;17;27;20;27
02.03.2023 21:00;15;19;17;13;24;20;23;25;24;16;22;18;23
02.03.2023 22:00;17;17;29;13;23;20;26;28;31;44;24;21;32
02.03.2023 23:00;17;15;21;13;20;23;24;31;33;21;25;19;26
03.03.2023 00:00;16;15;17;15;15;22;24;21;22;17;18;21;20
03.03.2023 01:00;16;16;18;16;13;21;22;20;20;16;19;24;21
03.03.2023 02:00;16;16;16;18;14;20;22;19;19;16;19;20;19
03.03.2023 03:00;17;17;16;19;16;20;22;19;19;16;19;22;19
03.03.2023 04:00;17;17;21;20;16;22;22;23;23;19;23;23;24
03.03.2023 05:00;19;17;20;19;17;23;24;23;23;19;25;22;23
03.03.2023 06:00;21;16;19;18;19;22;24;26;23;21;23;20;21
03.03.2023 07:00;18;15;20;16;20;21;22;23;23;23;25;24;23
03.03.2023 08:00;16;14;21;14;19;19;20;28;26;23;25;23;24
03.03.2023 09:00;15;12;24;15;22;18;18;26;25;30;33;25;26
03.03.2023 10:00;12;10;25;13;23;14;18;23;24;29;35;24;27
03.03.2023 11:00;11;10;21;11;21;12;25;18;18;27;38;31;25
03.03.2023 12:00;17;11;19;12;16;13;35;20;20;32;45;32;26
03.03.2023 13:00;17;14;23;13;19;17;32;22;23;33;45;34;28
03.03.2023 14:00;19;15;22;14;19;19;33;26;25;35;42;32;29
03.03.2023 15:00;19;16;20;16;20;20;35;24;25;32;41;34;28
03.03.2023 16:00;19;15;22;15;20;20;35;24;24;32;39;32;27
03.03.2023 17:00;21;16;19;17;18;19;37;27;25;26;34;26;28
03.03.2023 18:00;18;15;23;19;16;20;32;25;25;21;26;24;24
03.03.2023 19:00;18;15;25;21;18;22;25;24;24;21;28;22;24
03.03.2023 20:00;19;17;22;20;17;20;22;23;23;20;28;23;22
03.03.2023 21:00;19;17;22;20;17;21;22;23;24;21;28;23;23
03.03.2023 22:00;17;16;21;18;18;20;21;22;22;20;27;25;23
03.03.2023 23:00;16;16;19;15;16;19;22;20;20;19;27;30;24
04.03.2023 00:00;18;21;21;17;17;23;25;23;23;20;28;30;24
04.03.2023 01:00;24;23;25;18;19;26;24;26;25;24;29;27;26
04.03.2023 02:00;24;22;25;21;21;26;25;26;26;26;29;27;27
04.03.2023 03:00;21;19;22;20;21;23;23;23;24;25;26;24;24
04.03.2023 04:00;18;16;18;20;18;20;20;19;20;20;23;19;20
04.03.2023 05:00;16;14;16;17;16;19;18;18;18;17;19;17;19
04.03.2023 06:00;13;12;15;16;14;16;16;16;16;16;17;14;17
04.03.2023 07:00;11;10;13;12;12;13;14;14;14;14;15;13;15
04.03.2023 08:00;10;9;11;10;10;11;12;12;12;11;13;10;12
04.03.2023 09:00;7;8;10;8;9;11;12;11;11;10;12;9;11
04.03.2023 10:00;6;7;9;7;9;11;15;13;10;7;10;8;11
04.03.2023 11:00;7;7;9;9;7;10;11;10;10;8;11;9;10
04.03.2023 12:00;9;9;10;11;8;11;12;10;11;10;12;11;12
04.03.2023 13:00;13;11;13;12;10;14;30;13;16;13;17;21;20
04.03.2023 14:00;15;11;16;11;12;22;38;15;18;15;19;22;21
04.03.2023 15:00;14;10;14;12;10;19;27;14;17;14;17;20;20
04.03.2023 16:00;15;12;16;12;11;19;25;15;19;15;19;20;20
04.03.2023 17:00;15;13;15;14;13;18;23;15;19;15;20;23;21
04.03.2023 18:00;14;12;15;16;12;20;25;16;20;15;19;23;22
04.03.2023 19:00;13;12;14;15;12;21;27;17;20;13;19;23;23
04.03.2023 20:00;15;13;16;15;13;21;30;16;21;15;20;21;23
04.03.2023 21:00;15;13;16;10;10;21;28;16;20;16;20;20;22
04.03.2023 22:00;14;13;15;7;9;19;26;19;22;14;16;18;22
04.03.2023 23:00;12;11;10;7;10;18;25;16;19;10;13;13;18
05.03.2023 00:00;14;11;15;7;10;16;23;23;25;14;17;16;19
05.03.2023 01:00;15;12;15;10;11;17;21;19;20;16;19;16;20
05.03.2023 02:00;12;9;12;13;12;13;13;13;14;13;16;12;14
05.03.2023 03:00;10;8;11;12;9;11;11;12;13;11;14;11;13
05.03.2023 04:00;9;8;10;10;8;10;10;9;11;10;13;10;11
05.03.2023 05:00;9;7;9;10;9;9;12;9;10;11;14;12;11
05.03.2023 06:00;8;6;8;8;8;8;12;8;9;10;11;10;9
05.03.2023 07:00;8;6;8;8;7;8;9;8;8;8;10;8;9
05.03.2023 08:00;8;6;8;8;7;8;9;8;9;8;10;9;9
05.03.2023 09:00;7;6;8;7;7;8;23;10;9;9;11;13;10
05.03.2023 10:00;8;6;9;8;7;12;20;10;10;8;11;15;12
05.03.2023 11:00;9;6;9;8;7;13;17;9;10;8;11;15;12
05.03.2023 12:00;8;6;10;7;7;13;14;10;11;9;11;10;12
05.03.2023 13:00;8;7;8;7;7;8;14;9;10;9;12;8;10
05.03.2023 14:00;9;6;8;7;7;8;12;8;11;9;12;12;10
05.03.2023 15:00;9;6;9;7;8;8;13;11;14;9;12;16;15
05.03.2023 16:00;7;5;10;6;7;8;15;12;11;8;12;14;13
05.03.2023 17:00;7;5;8;7;7;11;20;9;12;7;12;11;14
05.03.2023 18:00;8;6;10;8;8;11;22;16;17;8;14;12;19
05.03.2023 19:00;9;6;15;10;8;11;22;20;22;10;15;12;17
05.03.2023 20:00;9;6;13;8;8;9;23;23;24;9;15;11;16
05.03.2023 21:00;8;6;12;10;10;11;17;15;16;9;14;10;14
05.03.2023 22:00;7;7;10;9;10;12;14;12;12;8;13;9;14
05.03.2023 23:00;7;7;9;9;9;12;14;14;13;8;12;9;12
06.03.2023 00:00;8;7;9;10;9;9;16;14;13;10;13;10;11
06.03.2023 01:00;8;7;8;7;9;10;12;13;13;10;15;11;11
06.03.2023 02:00;11;8;8;7;8;10;8;10;9;9;13;9;10
06.03.2023 03:00;10;8;10;6;7;10;11;10;10;9;10;10;11
06.03.2023 04:00;10;9;11;8;9;12;12;13;12;11;14;12;13
06.03.2023 05:00;10;7;9;11;9;10;11;11;10;10;12;10;11
06.03.2023 06:00;6;6;7;8;8;8;10;9;8;7;10;8;9
06.03.2023 07:00;6;4;6;7;6;7;9;9;8;7;9;6;9
06.03.2023 08:00;5;5;6;7;6;7;11;10;10;8;10;7;11
06.03.2023 09:00;6;5;8;8;7;8;10;11;11;8;18;9;12
06.03.2023 10:00;7;5;11;7;8;8;11;12;11;10;21;12;13
06.03.2023 11:00;7;4;8;8;11;7;11;10;10;10;15;11;10
06.03.2023 12:00;7;4;9;7;8;7;11;9;10;11;24;11;9
06.03.2023 13:00;7;4;9;7;8;6;10;9;10;9;15;11;9
06.03.2023 14:00;8;5;10;6;8;7;10;11;11;12;23;14;11
06.03.2023 15:00;10;5;11;7;9;7;37;13;14;12;19;24;18
06.03.2023 16:00;9;5;10;7;11;13;62;22;23;10;16;19;20
06.03.2023 17:00;9;5;11;8;8;15;53;20;22;11;17;17;23
06.03.2023 18:00;11;5;11;8;7;15;44;20;23;9;21;16;22
06.03.2023 19:00;10;5;15;7;6;12;21;16;17;9;20;20;18
06.03.2023 20:00;11;7;14;8;8;16;21;17;17;12;18;19;15
06.03.2023 21:00;14;10;14;18;9;18;24;20;20;14;22;19;17
06.03.2023 22:00;14;11;22;25;11;16;19;19;18;14;24;17;21
06.03.2023 23:00;11;11;14;20;11;14;16;16;15;14;23;15;17
07.03.2023 00:00;10;12;12;17;14;13;16;14;14;11;20;15;14
07.03.2023 01:00;14;11;13;14;15;15;15;14;14;12;18;13;15
07.03.2023 02:00;13;11;15;13;11;17;20;15;15;14;16;14;17
07.03.2023 03:00;16;14;16;15;14;19;24;21;20;15;21;17;17
07.03.2023 04:00;17;18;17;22;18;20;21;20;20;18;22;20;20
07.03.2023 05:00;19;19;18;19;20;21;22;22;21;20;23;23;21
07.03.2023 06:00;20;18;19;19;19;21;22;22;22;20;23;22;22
07.03.2023 07:00;18;17;18;18;17;24;25;22;22;19;23;23;22
07.03.2023 08:00;18;16;16;18;17;22;24;21;21;18;22;21;21
07.03.2023 09:00;18;14;16;17;16;20;22;21;20;19;25;20;21
07.03.2023 10:00;16;13;15;15;14;18;18;19;19;21;23;18;18
07.03.2023 11:00;14;11;13;13;11;15;14;15;15;18;17;15;15
07.03.2023 12:00;10;9;11;10;9;12;13;14;13;14;14;11;13
07.03.2023 13:00;7;6;8;7;8;8;13;11;10;9;10;8;11
07.03.2023 14:00;5;4;7;5;7;7;11;10;10;10;10;8;10
07.03.2023 15:00;5;4;7;5;6;7;10;9;9;7;10;7;12
07.03.2023 16:00;5;4;7;5;5;7;10;8;8;6;8;7;14
07.03.2023 17:00;5;4;6;5;4;6;8;8;8;6;9;7;8
07.03.2023 18:00;5;5;7;5;5;7;8;16;14;6;9;7;9
07.03.2023 19:00;6;5;8;6;6;7;9;9;9;7;10;8;10
07.03.2023 20:00;6;5;8;6;6;8;10;10;10;7;12;8;11
07.03.2023 21:00;7;7;10;6;7;10;11;10;11;8;12;9;12
07.03.2023 22:00;9;9;11;7;10;12;13;12;12;11;14;12;13
07.03.2023 23:00;10;8;12;9;9;11;12;13;13;12;15;12;15
08.03.2023 00:00;9;7;10;9;8;9;10;12;12;10;13;10;12
08.03.2023 01:00;8;6;8;8;7;8;8;10;11;8;11;8;9
08.03.2023 02:00;8;7;8;8;7;8;8;9;9;8;11;8;9
08.03.2023 03:00;9;9;9;9;7;11;10;11;11;9;12;10;11
08.03.2023 04:00;11;11;11;11;9;13;13;14;14;12;14;13;14
08.03.2023 05:00;13;12;13;13;11;14;14;15;15;14;17;15;15
08.03.2023 06:00;14;11;13;13;13;14;15;15;15;14;16;14;15
08.03.2023 07:00;13;11;13;14;12;16;16;16;16;14;17;14;16
08.03.2023 08:00;14;12;14;15;13;17;16;17;17;15;20;16;18
08.03.2023 09:00;14;13;14;14;13;16;17;18;18;17;18;16;17
08.03.2023 10:00;13;12;15;12;13;16;16;17;17;16;19;22;18
08.03.2023 11:00;10;9;12;12;11;14;23;15;14;13;22;39;17
08.03.2023 12:00;11;9;13;10;10;16;48;18;17;14;27;43;20
08.03.2023 13:00;12;9;11;9;10;25;37;27;26;11;23;41;22
08.03.2023 14:00;12;9;11;10;9;25;36;26;29;12;26;37;23
08.03.2023 15:00;13;10;12;10;9;16;21;18;19;13;16;27;22
08.03.2023 16:00;11;10;12;11;9;15;21;16;16;12;14;15;16
08.03.2023 17:00;13;11;14;11;10;18;17;22;23;14;16;18;20
08.03.2023 18:00;13;11;13;11;10;18;17;17;17;11;16;18;16
08.03.2023 19:00;11;13;12;11;9;15;14;16;16;10;16;15;16
08.03.2023 20:00;13;13;11;14;7;15;13;15;15;11;17;14;15
08.03.2023 21:00;14;11;12;16;9;15;12;14;14;11;15;15;16
08.03.2023 22:00;11;10;14;16;11;13;14;16;16;11;15;13;17
08.03.2023 23:00;13;12;14;14;10;16;16;20;19;12;16;14;19
09.03.2023 00:00;13;13;14;13;11;16;16;16;16;13;16;15;17
09.03.2023 01:00;12;13;14;12;12;16;14;16;16;13;15;16;16
09.03.2023 02:00;15;14;15;16;15;16;15;17;17;15;18;17;17
09.03.2023 03:00;16;15;16;15;16;18;17;19;19;17;19;19;19
09.03.2023 04:00;17;17;17;14;17;20;19;20;20;17;21;20;20
09.03.2023 05:00;16;17;17;15;17;20;20;19;20;18;20;20;19
09.03.2023 06:00;16;16;16;16;17;19;20;19;20;20;22;22;20
09.03.2023 07:00;19;18;19;16;19;22;23;23;23;20;24;24;22
09.03.2023 08:00;18;19;21;17;21;24;24;24;24;21;24;25;24
09.03.2023 09:00;18;18;19;16;18;23;25;23;23;19;23;22;23
09.03.2023 10:00;19;18;23;19;19;23;23;24;25;21;26;24;25
09.03.2023 11:00;23;21;23;20;22;26;26;28;28;24;28;28;28
09.03.2023 12:00;24;23;25;20;23;28;28;32;32;25;29;29;29
09.03.2023 13:00;26;25;26;22;24;30;28;33;34;28;31;30;31
09.03.2023 14:00;26;26;28;22;24;30;29;32;33;28;32;31;33
09.03.2023 15:00;27;26;27;22;24;31;28;33;34;28;33;31;33
09.03.2023 16:00;25;24;26;21;23;29;29;34;35;28;32;31;31
09.03.2023 17:00;26;23;27;22;23;29;28;31;31;27;31;31;32
09.03.2023 18:00;28;24;26;24;24;29;29;31;31;27;31;31;29
09.03.2023 19:00;25;25;27;28;24;31;30;32;32;26;33;32;29
09.03.2023 20:00;24;24;27;28;24;32;31;34;35;26;33;32;29
09.03.2023 21:00;23;24;26;25;24;30;31;32;33;26;32;31;29
09.03.2023 22:00;22;24;25;23;22;28;30;29;29;24;30;30;28
09.03.2023 23:00;21;22;24;24;20;26;27;25;25;23;29;28;25
10.03.2023 00:00;20;21;21;24;19;24;23;23;23;21;25;25;24
10.03.2023 01:00;19;19;20;21;17;20;20;22;23;19;22;22;23
10.03.2023 02:00;17;16;18;19;16;18;18;23;23;17;21;20;21
10.03.2023 03:00;15;14;16;19;15;17;17;19;19;17;20;19;19
10.03.2023 04:00;15;14;15;16;15;16;16;17;17;15;18;16;17
10.03.2023 05:00;13;12;13;14;14;14;14;16;16;13;16;15;16
10.03.2023 06:00;12;11;12;11;12;14;14;15;15;12;15;13;14
10.03.2023 07:00;12;11;13;11;11;15;14;17;17;12;15;14;15
10.03.2023 08:00;12;12;14;10;11;15;15;18;18;13;15;15;16
10.03.2023 09:00;15;12;15;10;12;17;14;21;22;15;17;17;17
10.03.2023 10:00;18;14;18;10;12;20;17;23;24;17;19;20;21
10.03.2023 11:00;20;14;23;13;12;20;18;27;27;20;23;24;27
10.03.2023 12:00;20;12;26;12;11;17;17;26;25;26;28;27;32
10.03.2023 13:00;16;12;21;12;14;15;15;20;21;21;26;22;25
10.03.2023 14:00;12;10;14;13;17;13;17;16;17;14;20;16;18
10.03.2023 15:00;10;10;;11;12;13;15;16;17;11;14;13;18
10.03.2023 16:00;12;10;12;12;11;14;18;18;20;12;15;16;18
10.03.2023 17:00;14;12;12;14;11;16;19;17;18;14;15;16;18
10.03.2023 18:00;15;13;14;13;15;17;19;16;17;15;19;18;21
10.03.2023 19:00;13;11;16;14;14;17;18;19;19;16;19;18;20
10.03.2023 20:00;14;11;14;15;14;17;19;18;18;14;17;17;20
10.03.2023 21:00;15;13;13;17;16;17;17;17;17;15;17;18;20
10.03.2023 22:00;18;15;15;15;16;19;17;18;18;17;19;20;21
10.03.2023 23:00;16;16;16;16;14;20;19;19;19;17;18;20;20
11.03.2023 00:00;17;16;15;18;12;18;18;18;18;17;18;20;20
11.03.2023 01:00;16;15;15;15;13;17;16;17;16;17;19;19;18
11.03.2023 02:00;15;13;13;16;13;14;15;15;15;15;17;16;16
11.03.2023 03:00;14;11;13;15;13;14;16;16;16;15;17;16;17
11.03.2023 04:00;5;4;5;5;8;5;6;7;7;5;7;7;7
11.03.2023 05:00;6;6;5;6;4;7;7;7;7;6;7;7;7
11.03.2023 06:00;6;6;6;6;5;7;8;10;8;6;9;8;8
11.03.2023 07:00;6;5;6;5;5;7;7;7;7;6;8;7;7
11.03.2023 08:00;7;7;7;6;6;9;9;9;9;8;9;9;9
11.03.2023 09:00;10;9;9;7;7;12;11;12;11;10;12;11;11
11.03.2023 10:00;11;10;10;9;8;13;12;13;13;12;14;13;13
11.03.2023 11:00;10;10;10;9;10;13;12;17;16;11;14;13;14
11.03.2023 12:00;12;13;11;10;9;15;15;14;14;12;14;14;15
11.03.2023 13:00;15;15;13;11;10;17;17;16;16;14;17;17;18
11.03.2023 14:00;14;14;15;14;13;17;26;18;18;15;20;19;22
11.03.2023 15:00;13;12;14;13;13;15;24;18;19;15;20;23;23
11.03.2023 16:00;11;10;11;10;11;15;22;14;16;12;17;19;19
11.03.2023 17:00;9;8;11;9;10;13;20;13;15;11;15;19;18
11.03.2023 18:00;10;7;11;8;9;14;24;14;15;10;15;20;26
11.03.2023 19:00;11;7;15;8;9;15;31;28;31;11;21;19;25
11.03.2023 20:00;10;7;13;9;10;13;28;25;26;12;21;16;19
11.03.2023 21:00;9;7;14;9;10;12;18;18;20;11;18;14;15
11.03.2023 22:00;9;7;12;9;8;10;15;15;15;10;19;15;14
11.03.2023 23:00;9;7;10;8;8;10;15;15;15;11;19;14;16
12.03.2023 00:00;9;6;10;8;8;10;13;14;14;10;18;13;15
12.03.2023 01:00;8;7;9;8;7;10;11;12;12;10;15;12;14
12.03.2023 02:00;8;7;8;8;8;9;11;12;12;10;14;11;13
12.03.2023 03:00;9;7;8;9;7;9;11;12;12;10;14;11;13
12.03.2023 04:00;9;7;9;9;8;10;11;12;12;10;14;11;13
12.03.2023 05:00;9;7;8;9;8;10;11;11;11;11;16;11;12
12.03.2023 06:00;10;9;9;9;8;11;12;11;11;10;13;11;12
12.03.2023 07:00;11;8;10;11;10;11;12;13;12;12;15;11;13
12.03.2023 08:00;10;8;10;11;10;12;13;12;12;11;15;11;12
12.03.2023 09:00;10;8;10;11;9;12;14;13;13;12;16;12;13
12.03.2023 10:00;11;9;10;11;8;14;20;14;15;12;17;15;15
12.03.2023 11:00;9;7;9;10;8;13;17;15;17;11;15;16;14
12.03.2023 12:00;9;6;9;9;7;12;15;13;15;9;13;14;13
12.03.2023 13:00;10;8;10;8;7;15;18;17;19;11;16;16;15
12.03.2023 14:00;11;8;11;10;8;13;18;16;19;11;18;15;15
12.03.2023 15:00;11;6;9;9;7;12;14;12;13;10;15;16;14
12.03.2023 16:00;10;6;10;7;6;11;15;11;11;8;12;14;12
12.03.2023 17:00;9;7;10;7;6;11;14;14;14;9;18;14;13
12.03.2023 18:00;12;9;12;9;8;14;15;15;15;12;18;16;15
12.03.2023 19:00;12;9;14;11;8;15;16;16;16;13;17;16;17
12.03.2023 20:00;12;9;14;12;8;14;13;15;13;13;19;12;15
12.03.2023 21:00;13;10;14;12;10;15;13;16;15;13;19;13;17
12.03.2023 22:00;13;10;14;14;10;14;14;16;16;13;19;15;16
12.03.2023 23:00;12;10;12;14;11;14;14;15;14;13;17;15;14
13.03.2023 00:00;12;10;12;12;11;13;14;14;14;13;16;14;14
13.03.2023 01:00;12;10;11;14;11;14;14;15;14;13;16;14;14
13.03.2023 02:00;13;11;13;15;11;14;15;17;15;14;16;14;15
13.03.2023 03:00;13;11;13;16;12;15;16;16;15;15;17;14;15
13.03.2023 04:00;13;10;13;15;11;14;16;16;15;15;20;14;15
13.03.2023 05:00;12;10;12;14;9;14;14;14;13;14;16;13;14
13.03.2023 06:00;12;10;11;14;9;14;15;14;13;14;15;13;13
13.03.2023 07:00;12;9;12;15;9;15;16;15;13;15;17;14;14
13.03.2023 08:00;13;9;11;15;9;14;16;16;13;15;19;15;14
13.03.2023 09:00;15;8;12;15;10;15;15;17;14;16;20;14;14
13.03.2023 10:00;12;7;11;12;7;12;12;13;12;13;18;12;13
13.03.2023 11:00;10;7;9;11;6;11;12;11;11;11;13;11;11
13.03.2023 12:00;8;6;8;9;5;9;11;10;9;9;13;10;11
13.03.2023 13:00;6;5;7;7;4;8;8;8;8;8;10;11;8
13.03.2023 14:00;6;4;5;6;4;6;11;6;7;6;8;7;9
13.03.2023 15:00;7;5;6;6;4;8;23;9;10;9;10;11;15
13.03.2023 16:00;9;6;8;6;5;11;22;18;21;9;13;14;14
13.03.2023 17:00;9;6;9;7;5;11;24;18;21;8;14;12;17
13.03.2023 18:00;10;6;10;7;5;12;27;18;18;9;16;15;21
13.03.2023 19:00;10;6;10;7;5;12;21;16;15;8;14;14;18
13.03.2023 20:00;9;5;9;7;5;10;15;13;14;7;12;11;14
13.03.2023 21:00;9;6;10;7;6;9;14;10;13;8;12;10;15
13.03.2023 22:00;9;7;10;8;7;10;14;11;12;10;13;11;14
13.03.2023 23:00;9;7;9;8;6;9;13;11;13;8;12;10;12
14.03.2023 00:00;7;5;6;7;4;7;9;11;12;6;9;8;11
14.03.2023 01:00;6;5;6;6;4;6;8;9;9;6;8;8;10
14.03.2023 02:00;6;5;6;5;5;6;7;7;7;6;7;7;8
